timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 11:40:48,GG,48,0.99,4799.96,0.99,5832.17,DOWN
2026-03-31 11:40:49,GG,49,0.99,4783.07,0.99,5832.17,DOWN
2026-03-31 11:40:50,GG,50,0.99,4688.07,0.99,5832.17,DOWN
2026-03-31 11:40:52,GG,52,0.99,4688.07,0.99,5832.17,DOWN
2026-03-31 11:40:53,GG,53,0.99,4303.02,0.99,5822.55,DOWN
2026-03-31 11:40:54,GG,54,0.99,4298.07,0.99,5822.55,DOWN
2026-03-31 11:40:55,GG,55,0.99,4298.07,0.99,5826.5,DOWN
2026-03-31 11:40:57,GG,57,0.99,4298.07,0.99,5830.45,DOWN
2026-03-31 11:40:58,GG,58,0.99,4676.55,0.99,5830.45,DOWN
2026-03-31 11:40:59,GG,59,0.99,4676.55,0.99,5835.4,DOWN
2026-03-31 11:41:01,GG,61,0.99,4771.55,0.99,5801.25,DOWN
2026-03-31 11:41:02,GG,62,0.99,4676.55,0.99,5796.3,DOWN
2026-03-31 11:41:03,GG,63,0.99,4676.55,0.99,5791.35,DOWN
2026-03-31 11:41:04,GG,64,0.99,4771.55,0.99,5791.35,DOWN
2026-03-31 11:41:06,GG,66,0.99,4291.5,0.99,5801.25,DOWN
2026-03-31 11:41:07,GG,67,0.99,4286.55,0.99,5791.35,DOWN
2026-03-31 11:41:08,GG,68,0.99,4286.55,0.99,5794.3,DOWN
2026-03-31 11:41:09,GG,69,0.99,4286.55,0.99,4809.25,DOWN
2026-03-31 11:41:11,GG,71,0.99,3296.55,0.99,4809.25,DOWN
2026-03-31 11:41:12,GG,72,0.99,3296.55,0.99,4702.55,DOWN
2026-03-31 11:41:13,GG,73,0.99,3189.85,0.99,4702.55,DOWN
2026-03-31 11:41:15,GG,75,0.99,3211.63,0.99,4724.33,DOWN
2026-03-31 11:41:16,GG,76,0.99,3211.63,0.99,4719.38,DOWN
2026-03-31 11:41:17,GG,77,0.99,3211.63,0.99,4742.28,DOWN
2026-03-31 11:41:18,GG,78,0.99,3211.63,0.99,4816.2,DOWN
2026-03-31 11:41:20,GG,80,0.99,3211.63,0.99,4815.2,DOWN
2026-03-31 11:41:21,GG,81,0.99,3216.58,0.99,4819.15,DOWN
2026-03-31 11:41:22,GG,82,0.99,3211.63,0.99,4824.1,DOWN
2026-03-31 11:41:23,GG,83,0.99,3211.63,0.99,4809.25,DOWN
2026-03-31 11:41:25,GG,85,0.99,3296.55,0.99,4809.25,DOWN
2026-03-31 11:41:26,GG,86,0.99,3296.55,0.99,4809.25,DOWN
2026-03-31 11:41:27,GG,87,0.99,3296.55,0.99,4814.2,DOWN
2026-03-31 11:41:28,GG,88,0.99,3296.55,0.99,4819.15,DOWN
2026-03-31 11:41:30,GG,90,0.99,3296.55,0.99,4809.25,DOWN
2026-03-31 11:41:31,GG,91,0.99,3296.55,0.99,4803.37,DOWN
2026-03-31 11:41:32,GG,92,0.99,3296.55,0.99,4796.32,DOWN
2026-03-31 11:41:34,GG,94,0.99,3491.5,0.99,4765.39,DOWN
2026-03-31 11:41:35,GG,95,0.99,3496.05,0.99,4765.34,DOWN
2026-03-31 11:41:36,GG,96,0.99,4494.75,0.99,4280.34,DOWN
2026-03-31 11:41:37,GG,97,0.99,4456.55,0.99,4280.34,DOWN
2026-03-31 11:41:39,GG,99,0.99,4456.55,0.99,4280.34,DOWN
2026-03-31 11:41:40,GG,100,0.99,4456.55,0.99,4275.44,DOWN
2026-03-31 11:41:41,GG,101,0.99,4456.55,0.99,4275.44,DOWN
2026-03-31 11:41:42,GG,102,0.99,4456.55,0.99,4275.44,DOWN
2026-03-31 11:41:44,GG,104,0.99,4456.55,0.99,4280.39,DOWN
2026-03-31 11:41:45,GG,105,0.99,4456.55,0.99,4275.44,DOWN
2026-03-31 11:41:46,GG,106,0.99,4456.55,0.99,4275.49,DOWN
2026-03-31 11:41:47,GG,107,0.99,4456.55,0.99,4270.54,DOWN
2026-03-31 11:41:49,GG,109,0.99,4461.5,0.99,4270.54,DOWN
2026-03-31 11:41:50,GG,110,0.99,4456.55,0.99,4270.54,DOWN
2026-03-31 11:41:51,GG,111,0.99,4266.55,0.99,4274.54,DOWN
2026-03-31 11:41:52,GG,112,0.99,4266.55,0.99,4255.04,DOWN
2026-03-31 11:41:54,GG,114,0.99,4266.55,0.99,4266.64,DOWN
2026-03-31 11:41:55,GG,115,0.99,4271.5,0.99,4266.64,DOWN
2026-03-31 11:41:56,GG,116,0.99,4266.55,0.99,4240.4,DOWN
2026-03-31 11:41:58,GG,118,0.99,4266.55,0.99,4391.9,DOWN
2026-03-31 11:41:59,GG,119,0.99,4266.55,0.99,4220.85,DOWN
2026-03-31 11:42:00,GG,120,0.99,4237.75,0.99,4412.95,DOWN
2026-03-31 11:42:01,GG,121,0.99,4237.75,0.99,4598.4,DOWN
2026-03-31 11:42:03,GG,123,0.99,4237.75,0.99,4230.75,DOWN
2026-03-31 11:42:04,GG,124,0.99,4237.75,0.99,4221.05,DOWN
2026-03-31 11:42:05,GG,125,0.99,4237.75,0.99,4406.1,DOWN
2026-03-31 11:42:07,GG,127,0.99,4237.75,0.99,4379.3,DOWN
2026-03-31 11:42:08,GG,128,0.99,4237.75,0.99,4225.95,DOWN
2026-03-31 11:42:09,GG,129,0.99,4237.75,0.99,4430.35,DOWN
2026-03-31 11:42:10,GG,130,0.99,4242.7,0.99,4425.65,DOWN
2026-03-31 11:42:12,GG,132,0.99,4237.75,0.99,4430.6,DOWN
2026-03-31 11:42:13,GG,133,0.99,4237.75,0.99,4245.4,DOWN
2026-03-31 11:42:14,GG,134,0.99,4237.75,0.99,4250.15,DOWN
2026-03-31 11:42:16,GG,136,0.99,4242.7,0.99,4250.15,DOWN
2026-03-31 11:42:17,GG,137,0.99,4237.75,0.99,4255.1,DOWN
2026-03-31 11:42:18,GG,138,0.99,4237.75,0.99,4250.15,DOWN
2026-03-31 11:42:19,GG,139,0.99,4237.75,0.99,4250.15,DOWN
2026-03-31 11:42:21,GG,141,0.99,4242.7,0.99,4260.05,DOWN
2026-03-31 11:42:22,GG,142,0.99,4237.75,0.99,4265.0,DOWN
2026-03-31 11:42:23,GG,143,0.99,4237.75,0.99,4260.05,DOWN
2026-03-31 11:42:24,GG,144,0.99,4237.75,0.99,4260.05,DOWN
2026-03-31 11:42:26,GG,146,0.99,4237.75,0.99,4264.9,DOWN
2026-03-31 11:42:27,GG,147,0.99,4237.75,0.99,4259.95,DOWN
2026-03-31 11:42:28,GG,148,0.99,4237.75,0.99,4257.95,DOWN
2026-03-31 11:42:30,GG,150,0.99,4237.75,0.99,4267.85,DOWN
2026-03-31 11:42:31,GG,151,0.99,4218.3,0.99,4238.8,DOWN
