timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 10:41:03,RR,63,0.999,3677.09,0.999,10466.51,DOWN
2026-03-31 10:41:04,RR,64,0.999,3677.09,0.999,10466.51,DOWN
2026-03-31 10:41:05,RR,65,0.999,3677.09,0.999,10466.51,DOWN
2026-03-31 10:41:06,RR,66,0.999,3677.09,0.999,10466.51,DOWN
2026-03-31 10:41:08,RR,68,0.999,3677.09,0.999,10466.51,DOWN
2026-03-31 10:41:09,RR,69,0.999,3445.25,0.999,10466.51,DOWN
2026-03-31 10:41:10,RR,70,0.999,3437.26,0.999,9476.51,DOWN
2026-03-31 10:41:12,RR,72,0.999,3437.26,0.999,9476.51,DOWN
2026-03-31 10:41:13,RR,73,0.999,3437.26,0.999,9476.51,DOWN
2026-03-31 10:41:14,RR,74,0.999,3447.25,0.999,9486.5,DOWN
2026-03-31 10:41:15,RR,75,0.999,3390.31,0.999,9486.5,DOWN
2026-03-31 10:41:17,RR,77,0.999,4189.45,0.999,9486.5,DOWN
2026-03-31 10:41:18,RR,78,0.999,4189.45,0.999,9486.5,DOWN
2026-03-31 10:41:19,RR,79,0.999,4157.48,0.999,9486.5,DOWN
2026-03-31 10:41:21,RR,81,0.999,3723.31,0.999,9486.5,DOWN
2026-03-31 10:41:22,RR,82,0.999,3723.31,0.999,9486.5,DOWN
2026-03-31 10:41:23,RR,83,0.999,3633.59,0.999,9486.5,DOWN
2026-03-31 10:41:25,RR,85,0.999,1136.09,0.999,9486.5,DOWN
2026-03-31 10:41:26,RR,86,0.999,1136.09,0.999,9486.5,DOWN
2026-03-31 10:41:27,RR,87,0.999,1136.09,0.999,9486.5,DOWN
2026-03-31 10:41:28,RR,88,0.999,1104.12,0.999,9486.5,DOWN
2026-03-31 10:41:30,RR,90,0.999,1104.12,0.999,9486.5,DOWN
2026-03-31 10:41:31,RR,91,0.999,943.65,0.999,9486.5,DOWN
2026-03-31 10:41:32,RR,92,0.999,943.65,0.999,9486.5,DOWN
2026-03-31 10:41:34,RR,94,0.999,943.65,0.999,9486.5,DOWN
2026-03-31 10:41:35,RR,95,0.999,911.91,0.999,9486.5,DOWN
2026-03-31 10:41:36,RR,96,0.999,911.91,0.999,9486.5,DOWN
2026-03-31 10:41:37,RR,97,0.999,911.91,0.999,9486.5,DOWN
2026-03-31 10:41:39,RR,99,0.999,458.29,0.999,9496.49,DOWN
2026-03-31 10:41:40,RR,100,0.999,458.29,0.999,9496.49,DOWN
2026-03-31 10:41:41,RR,101,0.999,426.32,0.999,9496.49,DOWN
2026-03-31 10:41:42,RR,102,0.999,426.32,0.999,9496.49,DOWN
2026-03-31 10:41:44,RR,104,0.999,426.32,0.999,9496.49,DOWN
2026-03-31 10:41:45,RR,105,0.999,426.32,0.999,9496.49,DOWN
2026-03-31 10:41:46,RR,106,0.999,426.32,0.999,9496.49,DOWN
2026-03-31 10:41:47,RR,107,0.999,426.32,0.999,9496.49,DOWN
2026-03-31 10:41:49,RR,109,0.999,394.36,0.999,9496.49,DOWN
2026-03-31 10:41:50,RR,110,0.999,394.36,0.999,9496.49,DOWN
2026-03-31 10:41:51,RR,111,0.999,394.36,0.999,9496.49,DOWN
2026-03-31 10:41:53,RR,113,0.999,394.36,0.999,9496.49,DOWN
2026-03-31 10:41:54,RR,114,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:41:55,RR,115,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:41:56,RR,116,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:41:58,RR,118,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:41:59,RR,119,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:00,RR,120,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:02,RR,122,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:03,RR,123,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:04,RR,124,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:05,RR,125,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:07,RR,127,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:08,RR,128,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:09,RR,129,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:10,RR,130,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:12,RR,132,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:13,RR,133,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:14,RR,134,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:16,RR,136,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:17,RR,137,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:18,RR,138,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:19,RR,139,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:21,RR,141,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:22,RR,142,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:24,RR,144,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:25,RR,145,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:26,RR,146,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:27,RR,147,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:29,RR,149,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:30,RR,150,0.0,0,0.999,9496.49,DOWN
2026-03-31 10:42:31,RR,151,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:33,RR,153,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:34,RR,154,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:35,RR,155,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:36,RR,156,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:38,RR,158,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:39,RR,159,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:40,RR,160,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:41,RR,161,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:43,RR,163,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:44,RR,164,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:45,RR,165,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:47,RR,167,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:48,RR,168,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:49,RR,169,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:50,RR,170,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:52,RR,172,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:53,RR,173,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:54,RR,174,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:56,RR,176,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:57,RR,177,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:58,RR,178,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:42:59,RR,179,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:01,RR,181,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:02,RR,182,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:03,RR,183,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:05,RR,185,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:06,RR,186,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:07,RR,187,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:08,RR,188,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:10,RR,190,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:11,RR,191,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:12,RR,192,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:14,RR,194,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:15,RR,195,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:16,RR,196,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:17,RR,197,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:19,RR,199,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:20,RR,200,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:21,RR,201,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:22,RR,202,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:24,RR,204,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:25,RR,205,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:26,RR,206,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:28,RR,208,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:29,RR,209,0.0,0,0.999,9486.64,DOWN
2026-03-31 10:43:30,RR,210,0.0,0,0.999,9486.64,DOWN
